province_name,province,adjusted_mean,adjusted_median,adjusted_q1,adjusted_q3,adjusted_income_mean,adjusted_income_median,adjusted_income_q1,adjusted_income_q3,col_index,income_index,col_index_custom,income_index_custom
La Union,33,13901.39,11407.56,8175.5,17030.45,27217.22,19491.6,13562.22,31795.0,0.4327123100156243,0.5308495753821341,0.5416139804390006,0.752180455479353
Laguna,34,18746.56,16043.78,11268.52,23033.94,30896.94,23848.0,16189.25,36880.34,0.811371824201206,0.7695033324093381,0.8475825930863351,0.8782446392916052
Lanao del Norte,35,11726.91,8643.5,6048.71,13854.9,20660.08,13728.75,9326.03,22656.14,0.20695994779385768,0.21514720560795786,0.27145005752581164,0.5854168475272737
Lanao del Sur,36,10330.09,9487.14,8222.4,11197.83,14894.63,12789.19,10730.71,15720.21,0.27586356163175235,0.16367591648104585,0.36182450021103507,0.5582281448042365
Leyte,37,13865.62,10434.99,7293.9,16031.72,23019.42,15333.13,10502.12,25905.63,0.353278442832559,0.3030388855958619,0.463362378333444,0.6318439100616373
Maguindanao,38,8757.38,7837.9,6215.58,10183.88,11606.41,9801.44,7655.22,12816.79,0.14116322015196298,0.0,0.1851506276419559,0.0
Marinduque,40,13016.46,10837.14,8293.44,14651.53,20646.7,14837.59,11023.6,21973.2,0.38612371842986265,0.2758920481251842,0.503968955822763,0.6175041236218421
Masbate,41,9556.2,7563.82,5794.52,10673.98,17097.05,12593.42,9348.45,17692.81,0.11877795809623998,0.15295117908016076,0.15578996758415156,0.5525630118355181
Metropolitan Manila,39,22159.3,18353.3,13995.9,25190.32,36491.02,28055.5,19833.33,41333.33,1.0,1.0,1.0,1.0
Misamis Occidental,42,12385.72,9249.73,6903.24,13518.82,19723.08,13080.92,9253.15,20469.34,0.25647329213142683,0.17965756659066534,0.33639209250407603,0.5666701391903233
