family_size,province_name,province,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
1.5,Bulacan,14,29626.11,27441.08,20786.58,36927.62,52834.53,39001.67,30787.5,74352.25,0.08560791001763535,0.03468509587946528,0.5357172665276764,0.5176083275729982
1.5,Cagayan,15,14832.2,13988.66,11353.56,16430.5,24414.7,21115.33,16371.91,26877.71,0.02882113327451366,0.01235554810613367,0.5068837713342877,0.5064497016687087
1.5,Camarines Norte,16,22133.08,18165.5,13356.73,25899.04,42669.25,24773.75,19784.0,68464.75,0.046452851624947285,0.016922768910664493,0.5158362792149184,0.508732054580527
1.5,Camarines Sur,17,21303.49,16687.0,10226.26,25027.9,41934.58,30330.83,16685.28,58470.92,0.04021165120043591,0.02386030243290692,0.5126673086770207,0.5121989112342755
1.5,Camiguin,18,17283.71,13849.5,10470.62,15093.0,27160.54,18293.75,15492.46,27814.71,0.02823369637828437,0.008833049629291734,0.5065855001540011,0.5046894222778985
1.5,Capiz,19,20037.83,18244.17,13929.17,24490.35,31449.56,25083.08,17104.17,33094.5,0.04678494174154945,0.0173089406491378,0.5160048980260218,0.5089250341253067
1.5,Catanduanes,20,20403.28,15116.17,11160.17,26936.67,30044.04,23096.0,13494.17,43595.0,0.03358069762394946,0.014828243212466475,0.5093004409123635,0.5076853684160617
1.5,Cavite,21,30215.51,27353.56,21215.24,36617.48,53266.13,48043.75,33543.21,63394.58,0.08523846134590507,0.045973350342384256,0.5355296789040871,0.5232493468154289
1.5,Cebu,22,23717.92,20006.49,14450.0,28814.33,45860.81,35833.33,24570.83,46810.0,0.0542242331396725,0.030729697547992353,0.5197821994520264,0.5156317174449566
1.5,Compostela Valley,82,14179.09,12714.33,9326.67,17370.83,31748.98,23273.5,18402.17,35781.67,0.023441796827460844,0.015049836603275682,0.5041524123721239,0.5077961041002772
1.5,Davao Oriental,25,13712.09,9172.25,7717.54,12707.53,28345.81,15095.42,11800.58,22058.21,0.008489594460431231,0.004840211377873072,0.27809689480845606,0.502694102498197
1.5,Davao del Norte,23,36827.58,24115.17,13928.67,37207.5,97623.42,34017.67,22403.0,80883.83,0.07156822729603463,0.028463003148236597,0.528588615325986,0.5144989943328284
1.5,Davao del Sur,24,18446.37,12683.08,8992.08,19685.0,32405.51,21982.5,15576.5,35205.0,0.023309881025454768,0.01343813481434787,0.5040854321020466,0.5069906969547999
1.5,Dinagat Islands,85,10534.06,9114.67,7194.17,12163.17,22364.34,17959.17,10560.0,30601.67,0.008246531680286918,0.008415355450717395,0.2701347942962709,0.5044806901921248
1.5,Eastern Samar,26,13762.21,11273.17,9071.52,14918.62,21386.37,16287.5,12611.0,25166.12,0.017358219956450475,0.006328420106413017,0.5010634752193363,0.5034377971147583
1.5,Guimaras,79,18667.65,17372.17,14133.0,19531.83,27127.45,23588.33,21183.25,31201.58,0.043103963202371955,0.015442874615830405,0.5141358805697845,0.50799251489161
1.5,Ifugao,27,18337.22,13363.62,11023.5,20457.65,51854.39,25278.92,18333.54,41034.58,0.026182648382165614,0.01755342994297484,0.5055440801979958,0.5090472114571194
1.5,Ilocos Norte,28,25053.03,20952.5,19167.67,29878.33,46344.4,40041.17,34637.0,49088.33,0.058217630511057016,0.03598282168085216,0.5218098476214931,0.5182568331715448
1.5,Ilocos Sur,29,23562.93,18758.25,15867.2,31003.34,43006.57,36526.25,26263.96,47820.83,0.048955030557398506,0.03159474820917273,0.5171067609777448,0.5160640046016136
1.5,Iloilo,30,21138.62,16137.17,11011.17,25291.0,36697.84,27044.5,19176.67,39168.33,0.03789065070709192,0.019757603796185665,0.5114888202963292,0.5101486915097235
1.5,Isabela,31,17107.04,15776.62,10942.58,19420.83,29932.63,24549.17,16576.88,37409.17,0.036368658949866635,0.016642400213718392,0.5107160287322853,0.5085919474258165
