family_size,region_name,income,col,housing,food,transport
5.5,Region IVA - CALABARZON,59675.0,40123.0,57810.0,133865.0,17732.0
5.5,Region IVB - MIMAROPA,38961.25,25800.88,31970.0,95838.5,10145.0
5.5,Region IX - Zamboanga Peninsula,35153.17,23084.25,25415.0,90947.0,9185.0
5.5,Region V- Bicol,37761.67,24385.71,34018.5,91056.0,9087.5
5.5,Region VI - Western Visayas,50485.83,32044.46,40460.0,114801.0,13510.0
5.5,Region VII - Central Visayas,55958.17,32367.83,49800.0,110311.0,13500.0
5.5,Region VIII - Eastern Visayas,40762.17,25880.79,31792.5,98457.62,9627.0
5.5,Region X - Northern Mindanao,43284.58,25735.83,33889.0,93117.34,11963.0
5.5,Region XI - Davao,40483.33,23116.67,28908.0,86463.75,9732.5
5.5,Region XII - SOCCSKSARGEN,34778.33,23942.83,26700.0,90028.5,10564.0
5.5,Region XIII - Caraga,39798.5,26571.67,32500.5,101301.12,11243.0
6.0,Bangsamoro Autonomous Region in Muslim Mindanao,32066.67,22300.0,21810.0,95833.0,7620.0
6.0,Cordillera Administrative Region,49690.83,30808.58,40814.0,110288.5,11025.0
6.0,National Capital Region,75200.0,51773.29,87510.0,160030.0,19400.0
6.0,Region I - Ilocos Region,60227.5,36070.33,45820.0,123239.0,15954.0
6.0,Region II - Cagayan Valley,47250.0,27102.17,40100.0,93177.0,11920.0
6.0,Region III - Central Luzon,59585.83,39692.75,59845.0,131430.5,15871.0
6.0,Region IVA - CALABARZON,59394.33,40615.0,55710.0,134333.0,18200.0
6.0,Region IVB - MIMAROPA,37059.33,24555.21,28877.5,96290.0,10345.0
6.0,Region IX - Zamboanga Peninsula,39113.33,25431.67,28750.0,104808.0,10320.0
6.0,Region V- Bicol,36503.5,24254.25,30205.0,93323.25,9480.0
6.0,Region VI - Western Visayas,46212.67,30311.33,36412.0,115485.0,13634.0
6.0,Region VII - Central Visayas,49555.67,29249.5,41520.0,101356.1,12750.0
6.0,Region VIII - Eastern Visayas,38298.33,25662.0,31080.0,100100.32,9716.0
6.0,Region X - Northern Mindanao,42135.83,25134.5,32740.0,93203.0,11660.0
