family_size,region_name,region,food_mean,food_median,food_q1,food_q3,transportation_mean,transportation_median,transportation_q1,transportation_q3,housing_mean,housing_median,housing_q1,housing_q3,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
2.0,Region X - Northern Mindanao,10,56387.0,56387.0,43635.0,75076.62,6390.0,6390.0,2807.5,12685.0,28067.0,28067.0,16732.5,48887.5,22065.61,17151.38,12307.79,25438.02,38898.51,27521.25,19062.08,42967.17,0.0453885071845265,0.029641784754165006,0.5199474487720033,0.5201582150663072
2.0,Region XI - Davao,11,51948.0,51948.0,41638.0,67184.0,5770.0,5770.0,2240.0,12040.0,25140.0,25140.0,16200.0,43940.0,19167.12,16002.17,11437.12,22511.83,36109.61,25816.83,18976.67,40460.0,0.038237179449284106,0.02549227280544423,0.5163512076311748,0.5181062829150722
2.0,Region XII - SOCCSKSARGEN,12,57061.0,57061.0,43933.0,78643.0,7834.0,7834.0,2960.0,14540.0,24822.0,24822.0,15694.0,42960.0,21366.72,17084.83,12009.0,25829.83,56281.26,26106.33,17143.33,39621.67,0.044974378469339216,0.02619707778846172,0.5197391927979671,0.5184548087231374
2.0,Region XIII - Caraga,16,62870.0,62870.0,47769.75,80044.0,5880.0,5880.0,2200.0,12172.0,24980.0,24980.0,14400.0,44200.0,22048.64,17203.92,12758.26,25046.37,37314.43,24910.0,17636.67,39247.5,0.045715454182211526,0.023284541189728343,0.5201118630300928,0.517014560433111
2.5,Bangsamoro Autonomous Region in Muslim Mindanao,19,71972.0,71972.0,59327.12,82653.0,5540.0,5540.0,3620.0,8750.0,18500.0,18500.0,13400.0,25395.0,18206.34,17048.33,14699.17,20469.0,27761.79,24641.67,20583.67,30750.0,0.04474724551510427,0.02263127583189386,0.5196249727671283,0.5166915209509758
2.5,Cordillera Administrative Region,14,75406.5,75406.5,58343.0,98003.0,8395.0,8395.0,3667.5,16748.0,41436.0,41436.0,25595.0,66980.0,27650.2,23891.58,17621.25,34944.08,51484.3,41560.0,29069.25,62207.08,0.08733156302382539,0.06381995731145945,0.5410396638914433,0.5370593089798668
2.5,National Capital Region,13,100012.12,100012.12,78073.75,125825.5,13964.0,13964.0,7896.0,24242.5,76644.0,76644.0,57177.0,115126.25,44257.56,37714.67,29296.23,50941.04,76740.16,59393.33,43756.25,82778.33,0.17335017311575948,0.1072362607580751,0.5842964794006834,0.5585286552622281
2.5,Region I - Ilocos Region,1,75232.0,75232.0,53729.0,107588.0,8740.0,8740.0,4080.0,14960.0,36840.0,36840.0,23950.0,55900.0,27401.92,23870.0,16452.33,33152.25,53843.85,42195.0,28990.0,62747.5,0.08719727455389689,0.06536590261099692,0.5409721332540323,0.5378237783688872
2.5,Region II - Cagayan Valley,2,71617.0,71617.0,52513.5,92960.5,10070.0,10070.0,5760.0,16645.0,36670.0,36670.0,26577.5,57382.5,27438.69,22800.25,16965.54,31875.74,52879.09,37103.75,26864.79,54794.42,0.08054041214861365,0.05297095142002015,0.537624547555682,0.5316944795077058
2.5,Region III - Central Luzon,3,90631.85,90631.85,69984.2,119285.62,11859.0,11859.0,6545.0,21102.5,54165.0,54165.0,36830.0,81862.5,34599.51,31140.25,22973.85,42829.35,54753.16,43857.5,30995.83,67097.92,0.13243873648613375,0.06941335782435296,0.5637230422733654,0.5398252435015587
2.5,Region IVA - CALABARZON,4,84328.0,84328.0,62862.38,119140.75,10868.0,10868.0,4852.5,21240.0,52742.0,52742.0,38260.5,80815.0,35728.43,28773.33,21499.81,42106.12,60984.72,45925.0,30921.67,68002.5,0.11770981780016695,0.07444680964607545,0.5563162018516412,0.5423142835988811
2.5,Region IVB - MIMAROPA,17,66919.5,66919.5,51427.75,86350.21,7420.0,7420.0,3611.0,13597.5,33070.0,33070.0,18962.5,53084.25,24327.5,20063.12,14656.42,28729.67,44575.16,30912.88,22985.79,49524.79,0.06350774302463807,0.0378989098821498,0.5290592030896613,0.5242413604425014
2.5,Region IX - Zamboanga Peninsula,9,63394.0,63394.0,47036.25,85677.0,6200.0,6200.0,2400.0,11677.5,21645.0,21645.0,14085.0,39712.5,21560.31,16786.67,12074.58,25089.67,39719.23,25476.5,18267.12,38618.67,0.043118982260169525,0.024663719161677936,0.5188061559652303,0.5176965634392213
2.5,Region V- Bicol,5,62537.0,62537.0,49648.0,84916.0,5950.0,5950.0,2960.0,11700.0,28310.0,28310.0,18800.0,45440.0,23866.18,18166.67,14198.0,26306.5,42311.35,26630.42,20010.0,38736.67,0.05170647477644984,0.027473006090878403,0.5231246119257102,0.5190857548051717
2.5,Region VI - Western Visayas,6,76560.75,76560.75,59576.62,92746.0,8549.0,8549.0,4380.0,15985.0,32100.0,32100.0,20968.5,60045.0,27143.09,22809.42,16835.42,31885.0,49038.27,35305.42,24457.71,53031.33,0.08059747541410225,0.048592809986134695,0.5376532433826078,0.529529490159112
2.5,Region VII - Central Visayas,7,71294.5,71294.5,52432.25,96877.75,10258.0,10258.0,5542.0,18417.5,42387.5,42387.5,25982.0,68887.5,29030.19,24295.6,17276.21,33819.46,53127.64,43742.0,29075.08,64500.0,0.08984570702848305,0.06913216619900403,0.5423039701067717,0.5396861943449731
2.5,Region VIII - Eastern Visayas,8,67847.0,67847.0,53882.62,87709.98,5597.0,5597.0,2468.75,13019.0,28744.0,28744.0,19382.5,51000.0,24548.63,18807.54,14349.42,28997.08,46263.39,29593.58,22151.88,51523.71,0.05569449385536909,0.03468699549840206,0.5251300966151253,0.5226530699465414
2.5,Region X - Northern Mindanao,10,63585.9,63585.9,48648.75,82895.12,7970.0,7970.0,3580.0,16932.5,31810.0,31810.0,18950.0,57033.0,25435.44,19802.67,13725.92,28386.92,48397.2,32823.92,23107.71,53225.21,0.06188700938270676,0.042551450520304325,0.5282441727600184,0.5265420400979243
2.5,Region XI - Davao,11,59930.0,59930.0,47871.0,77758.25,7210.0,7210.0,3332.5,14685.0,28775.0,28775.0,18420.0,46950.75,22002.13,17853.92,13137.21,26175.33,42394.22,31462.67,22744.92,45687.5,0.04976028761379282,0.03923740636440604,0.5221459183737972,0.5249032464667368
2.5,Region XII - SOCCSKSARGEN,12,66409.03,66409.03,52111.48,84361.0,8625.0,8625.0,3855.0,16075.0,23985.0,23985.0,16108.0,43553.0,23887.14,18460.92,13893.62,28118.67,40476.85,27749.92,18843.75,42245.0,0.05353753975682336,0.03019849548116537,0.5240454131332257,0.5204335083185706
2.5,Region XIII - Caraga,16,72397.0,72397.0,56210.12,93398.12,7280.0,7280.0,3770.5,13028.0,26921.0,26921.0,17710.0,48980.0,25767.96,20169.83,14799.67,28677.06,41991.03,30258.75,21798.08,46782.46,0.06417178021769046,0.03630639145886403,0.5293931323907792,0.5234538606607062
3.0,Bangsamoro Autonomous Region in Muslim Mindanao,19,76226.5,76226.5,60902.25,92879.75,6179.0,6179.0,3600.0,9803.5,19850.0,19850.0,14115.0,28800.0,19329.29,18124.83,15131.62,21934.92,29477.39,25583.33,21132.71,32106.12,0.0514461119598693,0.024923803155929264,0.522993681347894,0.5178251748798971
3.0,Cordillera Administrative Region,14,82891.5,82891.5,65747.25,106029.0,8667.5,8667.5,4400.0,15800.0,39196.0,39196.0,25410.0,65013.0,29625.63,25054.33,19017.42,34910.42,54131.11,41786.67,30262.08,61820.62,0.09456714775085795,0.06437179891940614,0.5446782759697391,0.5373321944545271
3.0,National Capital Region,13,111544.5,111544.5,88395.75,144778.75,15180.0,15180.0,8661.0,26896.0,81050.0,81050.0,58417.5,123645.0,48203.0,40692.17,31370.33,55494.96,78715.59,61448.75,43828.25,92239.88,0.1918786216427338,0.11224030310071345,0.5936140175328061,0.561003152382827
3.0,Region I - Ilocos Region,1,88717.5,88717.5,66017.5,116984.75,11902.0,11902.0,6240.0,20215.0,41434.0,41434.0,27912.75,64036.25,31579.79,27368.23,20240.58,38110.28,59455.03,47707.83,32585.67,67019.0,0.10896613248522097,0.078787215407295,0.5519192000617351,0.5444606126710501
3.0,Region II - Cagayan Valley,2,76487.0,76487.0,58885.75,101480.0,10360.0,10360.0,5680.0,18200.0,37950.0,37950.0,26300.0,55360.0,27635.85,23355.33,17952.25,32188.5,52644.56,38639.0,28572.5,55573.83,0.08399457544277084,0.05670860893358697,0.5393615682328872,0.5335427497903729
3.0,Region III - Central Luzon,3,100777.0,100777.0,77014.0,128630.0,13500.0,13500.0,8000.0,22900.0,54240.0,54240.0,36720.0,81550.0,35918.23,32152.17,24168.83,43310.5,56703.01,47493.33,33858.83,67066.67,0.1387357331724195,0.07826500238878983,0.5668896596324443,0.5442023785231054
3.0,Region IVA - CALABARZON,4,98438.7,98438.7,76134.5,129700.25,14045.0,14045.0,6755.5,26230.0,54105.0,54105.0,36566.0,83271.0,38732.26,32823.25,23289.12,47042.8,64349.5,48196.17,32565.21,76067.08,0.14291174366359732,0.07997610820662751,0.568989680955603,0.5450485197284267
3.0,Region IVB - MIMAROPA,17,72056.73,72056.73,56954.25,93599.62,8791.0,8791.0,4142.5,15065.0,29830.0,29830.0,18832.5,49640.0,25452.22,21049.92,15594.42,29713.71,44624.84,31890.96,22977.29,48183.96,0.06964842245584488,0.040280103864152365,0.5321472120329958,0.5254188600015771
3.0,Region IX - Zamboanga Peninsula,9,74026.5,74026.5,56810.5,98123.0,7360.0,7360.0,3625.0,13570.0,25110.0,25110.0,15177.0,40635.0,23349.95,19652.25,14426.42,28217.71,38181.06,29900.0,21621.25,41797.5,0.06095097269843222,0.03543299322861352,0.5277734610603262,0.5230219655531297
3.0,Region V- Bicol,5,72251.75,72251.75,58297.62,93766.5,7542.5,7542.5,3105.0,14878.75,30218.5,30218.5,18514.5,50047.5,24908.35,20311.67,15408.12,28599.58,41084.06,30145.62,22551.04,44286.25,0.06505442510066811,0.03603096973959367,0.5298369945599346,0.5233176647205804
3.0,Region VI - Western Visayas,6,83585.25,83585.25,65350.75,110702.88,11052.0,11052.0,5730.0,18949.5,34025.0,34025.0,21700.0,57324.0,29394.24,24340.83,17991.67,34839.72,49566.01,36886.0,26924.88,57170.92,0.09012716520711447,0.05244082608305276,0.5424455090655343,0.5314323327211559
3.0,Region VII - Central Visayas,7,73552.0,73552.0,55698.44,98683.62,10696.0,10696.0,5745.0,18759.0,38740.0,38740.0,23442.5,63873.25,28817.02,23562.0,16291.33,34034.5,52557.15,39981.58,27050.33,60249.83,0.08528064578939376,0.05997719986311934,0.5400083039527078,0.5351590668176344
3.0,Region VIII - Eastern Visayas,8,75843.12,75843.12,59233.0,98957.5,7590.0,7590.0,3250.0,14657.5,28465.0,28465.0,18885.0,48880.5,26895.3,20840.73,15584.52,29757.12,47528.98,31487.17,23551.92,50343.33,0.06834667060114874,0.039297053072813386,0.5314925904370734,0.5249327417423763
